,Neighbourhood,Total - Household total income groups in 2015 for private households - 100% data,"  Under $5,000","  $5,000 to $9,999","  $10,000 to $14,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","  $100,000 and over","    $200,000 and over"
0,Agincourt North,"9,120",155,105,160,320,540,420,455,420,435,800,700,635,525,515,"2,505",325
1,Agincourt South-Malvern West,"8,135",315,140,195,315,400,370,385,370,415,770,645,595,510,405,"2,030",285
2,Alderwood,"4,620",55,45,80,145,150,155,170,160,165,335,300,320,275,250,"1,915",360
3,Annex,"15,935",850,485,655,620,530,525,555,540,505,"1,000",900,795,715,605,"5,895","2,670"
4,Banbury-Don Mills,"12,125",265,155,235,395,445,405,470,460,400,930,885,780,655,605,"4,615","1,750"
5,Bathurst Manor,"6,085",130,85,155,245,230,220,255,240,245,400,430,390,310,300,"2,025",515
6,Bay Street Corridor,"15,075","2,510",735,740,580,560,490,515,440,410,850,840,815,705,570,"3,600","1,105"
7,Bayview Village,"9,530",585,260,290,365,370,360,330,350,335,650,655,615,520,495,"3,010",855
8,Bayview Woods-Steeles,"4,695",90,70,80,200,170,205,180,200,165,330,290,265,255,250,"1,830",580
9,Bedford Park-Nortown,"8,605",140,85,150,230,215,230,215,225,240,440,395,390,360,275,"4,745","2,915"
10,Beechborough-Greenbrook,"2,650",50,60,160,185,170,190,170,155,125,205,200,160,110,105,430,60
11,Bendale,"10,765",615,220,255,370,475,465,520,495,530,935,845,765,615,575,"2,625",275
12,Birchcliffe-Cliffside,"9,200",165,290,320,405,330,315,340,330,310,650,595,525,475,465,"3,345",930
13,Black Creek,"7,325",140,170,315,440,480,485,445,460,430,750,565,475,360,305,900,40
14,Blake-Jones,"3,125",55,90,145,135,140,130,115,115,100,165,165,140,120,115,"1,105",320
15,Briar Hill-Belgravia,"5,730",105,135,190,280,265,250,295,285,240,470,430,415,370,315,"1,375",165
16,Bridle Path-Sunnybrook-York Mills,"3,240",80,25,35,30,45,40,45,30,30,100,95,75,95,105,"2,370","1,705"
17,Broadview North,"5,665",145,110,200,290,345,335,305,310,270,540,400,320,280,225,"1,230",320
18,Brookhaven-Amesbury,"6,480",100,125,255,385,360,385,425,365,325,595,560,440,345,275,"1,225",150
19,Cabbagetown-South St. James Town,"6,440",175,160,330,330,265,245,240,235,255,425,420,350,295,270,"1,925",700
20,Caledonia-Fairbank,"3,680",55,65,100,175,155,190,180,170,180,295,255,250,210,235,"1,040",80
21,Casa Loma,"5,405",165,75,135,160,185,170,170,140,160,280,285,285,240,260,"2,535","1,325"
22,Centennial Scarborough,"4,380",20,25,35,45,75,85,75,95,90,210,230,235,295,270,"2,545",715
23,Church-Yonge Corridor,"19,680","1,310",755,"1,070",875,720,765,785,760,755,"1,445","1,310","1,255","1,005",925,"4,840","1,130"
24,City of Toronto,"1,112,930","33,195","23,455","36,550","47,315","47,500","46,945","47,115","46,285","44,650","84,180","76,120","68,190","60,400","53,485","343,520","96,600"
25,Clairlea-Birchmount,"9,245",150,110,260,390,420,420,385,445,420,735,700,610,575,555,"2,785",340
26,Clanton Park,"6,550",125,100,165,260,270,255,250,285,255,485,480,410,385,310,"2,135",690
27,Cliffcrest,"5,905",100,85,145,285,245,200,215,255,220,410,350,350,315,285,"2,135",495
28,Corso Italia-Davenport,"5,490",125,85,125,250,205,260,230,260,215,410,370,320,300,310,"1,840",325
29,Danforth,"3,930",75,65,135,190,135,140,130,125,120,220,210,195,155,165,"1,570",520
30,Danforth East York,"7,025",95,105,165,310,260,275,260,255,255,445,385,345,330,375,"2,820",685
31,Don Valley Village,"9,970",330,175,255,415,465,500,460,415,435,835,755,710,595,495,"2,755",530
