,Total - Household after-tax income groups in 2015 for private households - 100% data,"  Under $5,000","  $5,000 to $9,999","  $10,000 to $14,999","  $15,000 to $19,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","  $100,000 to $124,999","  $125,000 to $149,999","  $150,000 to $199,999"
0,"1,112,930","34,795","23,615","37,080","55,930","51,910","52,205","53,515","55,545","55,770","53,385","98,910","86,755","75,120","63,360","51,570","94,020","58,260","111,185"
1,"9,115",150,105,165,450,340,565,450,510,455,475,930,755,695,640,500,935,465,510
2,"8,140",320,130,205,275,350,415,395,450,470,445,860,755,630,500,405,700,370,425
3,"4,620",70,35,80,85,160,175,170,210,185,225,390,355,365,310,265,605,445,470
4,"15,940",905,485,660,785,680,625,630,675,645,665,"1,160","1,060",820,750,620,"1,205",780,"2,765"
5,"12,125",300,150,245,435,430,495,500,575,555,575,"1,180","1,000",790,690,595,"1,030",660,"1,915"
6,"6,090",130,85,150,430,275,240,250,300,310,260,500,495,420,350,305,585,365,635
7,"15,070","2,545",740,745,720,620,610,570,570,535,565,"1,080","1,085",895,650,480,940,595,"1,135"
8,"9,525",610,255,290,355,405,385,435,405,415,430,825,785,695,545,435,800,490,985
9,"4,700",105,70,85,145,205,190,220,215,230,190,375,335,305,315,255,475,335,650
10,"8,605",175,100,145,260,255,245,275,265,295,280,530,475,415,325,345,690,495,"3,030"
11,"2,650",50,60,160,195,190,190,215,185,175,140,235,200,135,125,95,125,85,90
12,"10,765",625,230,270,455,425,510,545,620,600,590,"1,090",930,780,675,510,980,500,440
13,"9,190",185,300,325,350,450,365,395,385,420,405,775,640,625,545,450,950,595,"1,075"
14,"7,320",145,175,320,605,480,520,510,500,510,475,805,595,470,355,255,365,145,120
15,"3,125",60,90,155,280,155,140,130,150,130,105,220,170,155,150,135,280,235,380
16,"5,745",115,135,190,305,305,300,295,315,325,290,540,535,455,345,290,490,255,235
17,"3,240",100,25,30,40,40,50,45,45,55,50,110,130,135,105,110,245,200,"1,725"
18,"5,665",145,115,200,375,335,390,385,365,355,335,545,415,330,230,220,325,230,345
19,"6,480",110,130,255,340,415,400,445,470,395,380,700,550,440,310,290,455,210,205
20,"6,440",200,160,325,535,355,295,290,300,320,290,545,440,390,295,240,445,300,720
21,"3,680",65,65,100,125,200,180,185,220,210,185,340,290,285,275,215,385,220,130
22,"5,405",190,85,135,185,175,210,205,210,185,185,360,355,345,245,240,445,295,"1,385"
23,"4,375",20,20,30,60,60,85,95,95,120,140,260,310,365,325,315,720,485,885
24,"19,690","1,355",750,"1,110","1,190",930,840,920,945,995,955,"1,735","1,595","1,245","1,110",800,"1,300",745,"1,160"
25,"9,240",150,115,270,305,435,470,455,480,480,520,875,755,700,685,515,965,545,520
26,"6,555",135,95,170,385,290,305,285,320,305,290,625,530,480,350,285,555,330,825
27,"5,905",110,90,140,310,305,285,235,245,295,260,475,425,385,345,310,635,435,625
28,"5,485",135,85,120,205,295,230,270,280,280,265,490,375,385,385,320,585,355,425
29,"3,925",75,70,145,290,200,150,145,155,155,140,255,250,215,200,155,370,335,625
30,"7,025",95,100,175,340,325,305,300,325,325,275,505,435,435,440,365,825,600,840
31,"9,960",355,175,265,395,450,500,550,520,485,545,995,900,745,580,530,835,485,690
32,"8,780",140,155,245,430,425,520,545,540,585,535,960,810,680,550,435,635,360,250
33,"15,320",330,330,605,810,810,710,760,810,745,725,"1,325","1,240","1,090",945,750,"1,425",925,965
34,"13,100",220,185,395,655,745,715,835,830,840,780,"1,310","1,100",885,790,630,"1,050",575,550
35,"5,440",135,100,200,320,290,280,360,320,330,285,480,450,345,315,235,445,225,335
36,"9,190",215,270,455,575,495,435,400,390,355,350,630,535,515,490,410,900,670,"1,085"
37,"6,260",115,50,100,170,255,245,240,285,315,295,555,455,455,340,265,455,320,"1,355"
38,"7,905",100,125,265,380,420,540,550,565,525,510,870,655,575,430,340,515,270,215
39,"3,215",45,45,80,130,150,170,195,195,195,210,355,315,255,190,160,270,135,105
40,"8,245",190,150,300,640,520,430,450,405,395,435,770,585,510,405,315,560,300,865
41,"6,860",75,35,80,120,265,215,275,265,295,265,585,570,555,470,470,905,630,775
42,"4,585",95,70,125,180,190,225,225,280,250,300,525,380,345,300,240,415,220,220
43,"7,830",260,150,260,520,460,545,525,560,555,470,845,700,550,400,295,400,175,165
44,"5,440",125,95,165,260,270,240,255,265,285,245,455,390,330,265,160,385,195,"1,065"
45,"4,950",155,80,105,160,205,175,175,195,215,195,310,315,230,230,160,325,245,"1,495"
46,"9,930",95,155,280,655,700,625,685,685,645,595,985,760,675,565,435,740,350,295
47,"6,055",145,140,270,365,340,255,270,270,225,215,445,410,380,385,300,615,450,565
48,"3,995",45,25,40,60,150,120,170,170,200,170,330,320,315,300,240,490,340,490
49,"6,360",465,165,220,290,305,315,285,345,365,325,680,560,505,375,250,425,190,295
50,"11,025",340,270,430,575,510,480,500,530,535,470,985,855,740,635,500,855,590,"1,195"
51,"10,870",275,155,230,365,480,380,405,480,470,495,860,865,725,625,505,"1,015",695,"1,880"
52,"3,700",65,30,45,60,80,80,115,115,115,135,260,270,230,275,220,570,390,630
53,"6,400",185,115,180,570,255,315,285,270,205,230,470,430,425,385,345,695,410,640
54,"4,135",55,45,75,170,215,190,210,215,225,235,415,315,290,260,215,380,245,380
55,"3,895",45,55,60,95,210,220,230,285,275,205,370,365,295,260,170,360,190,200
56,"5,060",85,70,110,190,260,290,325,315,340,300,580,445,410,320,250,415,185,155
57,"6,565",180,130,235,415,360,330,325,355,355,330,580,440,330,305,220,385,280,"1,010"
58,"5,170",120,95,210,260,265,320,335,390,340,300,560,500,370,270,205,350,165,110
59,"19,330",435,335,470,815,745,795,875,895,975,990,"1,895","1,690","1,440","1,320",950,"1,750","1,055","1,900"
60,"6,035",150,110,200,245,265,240,235,280,295,255,550,445,435,365,330,635,395,575
61,"4,185",70,75,125,285,285,245,220,235,230,225,365,350,295,255,245,350,185,165
62,"6,570",110,220,380,460,435,425,375,425,365,335,590,535,400,355,270,455,230,210
63,"8,730",530,405,560,955,490,510,440,415,430,390,675,560,485,365,285,485,315,430
64,"7,775",130,105,180,295,420,420,440,500,500,480,865,675,555,470,345,615,365,425
65,"3,580",50,25,35,40,70,60,75,85,100,105,195,190,165,160,155,340,275,"1,455"
66,"3,120",60,65,120,165,160,135,140,110,105,100,180,170,145,150,125,285,210,695
67,"15,030",370,255,370,830,680,880,890,845,850,790,"1,520","1,315","1,035",915,675,"1,270",710,815
68,"6,585",350,135,160,230,240,260,240,285,255,275,485,420,415,345,315,590,395,"1,205"
69,"5,420",95,50,90,150,125,110,120,135,140,120,250,270,265,230,230,505,420,"2,125"
70,"5,755",120,95,100,120,140,130,120,145,145,125,290,255,270,225,230,440,385,"2,420"
71,"6,435",145,65,85,140,165,185,165,195,220,185,375,330,310,305,255,540,475,"2,305"
